p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
127837,738721,1,1,1,True,610884,9,2,16,False,1,COL1
127849,948721,4,4,7,True,820872,9,14,4,False,1,COL1
127931,139721,5,5,7,True,11790,9,22,9,False,-1,COL2
127951,159721,7,7,4,True,31770,9,5,29,False,1,COL1
127973,379721,2,2,4,True,251748,9,27,27,True,-1,COL2
128033,330821,8,8,1,True,202788,9,13,4,False,-1,COL2
128113,311821,7,7,4,True,183708,9,19,22,False,1,COL1
128257,752821,7,7,4,True,624564,9,15,19,False,1,COL1
128341,143821,1,1,1,True,15480,9,25,2,False,1,COL1
128377,773821,1,1,1,True,645444,9,24,3,False,1,COL1
128399,993821,5,5,7,True,865422,9,9,1,False,-1,COL2
128449,944821,1,1,1,True,816372,9,22,26,False,1,COL1
128461,164821,4,4,7,True,36360,9,34,23,False,1,COL1
128477,774821,2,2,4,True,646344,9,13,4,False,-1,COL2
128483,384821,8,8,1,True,256338,9,19,21,False,-1,COL2
128551,155821,4,4,7,True,27270,9,13,14,False,1,COL1
128603,306821,2,2,4,True,178218,9,28,17,False,-1,COL2
128831,138821,5,5,7,True,9990,9,34,34,True,-1,COL2
128873,378821,2,2,4,True,249948,9,2,15,False,-1,COL2
128879,978821,8,8,1,True,849942,9,8,23,False,-1,COL2
